NAME;PRICE;FACULTY;CREDITS;DESCRIPTION;PLACES;SCHEDULE;CAMPUS
Business Management and Administration;€1,248.52;School of Economics and Business;240;"UPF's bachelor's degree programme in Business Management and Administration provides students with the knowledge of economics and the skills required to manage the different areas of activity (finance, sales, human resources, etc.) of a business, be it a multinational or a SME.
The programme's graduates will be capable of managing projects within organizations and adapting to economic, socio-political and technological environments of a complex, changing nature.
";170;Full;Ciutadella
Human Biology;€1,248.52;Faculty of Health and Life Sciences;240;"The bachelor's degree programme in Human Biology aims to produce biologists capable of developing a career in the field of biomedicine and health or of embarking upon postgraduate training in optimal conditions.
The programme is taught in a multidisciplinary biomedical zone in which there is a great deal of synergy with the bachelor's degree course in Medicine offered by UPF and the Autonomous University of Barcelona (UAB).
The ultimate objective is to endow graduates with general and specific competences for successfully undertaking professional activities in the pharmaceutical and biotechnology industry and in environmental or clinical analysis laboratories (an area in which the public health system is notably active), as well as to equip them to lead future biomedical research in the academic and industrial spheres alike.";65;Full;Mar
Business Sciences;€1,202.32;School of Economics and Business;240;"Our bachelor's degree programme in Business Sciences - Management provides quality training on the basis of which graduates will swiftly find employment.
The programme's structure guarantees that students will become familiar with all the functional areas of a business and acquire the personal skills they need to go about their professional activity after graduating. Furthermore, the training involved will enable them to take up executive positions in the future.
The programme's quality is based on four key factors. The first is the pragmatic outlook that students develop in relation to companies, particularly during the programme's second cycle. The second is the emphasis that UPF places on offering its students internships. The third is the great flexibility that students enjoy in terms of compulsory subjects, enabling them to spend a whole academic year on exchange if they wish. The fourth is the excellent level of proficiency they achieve in English, a consequence of using the language to study a minimum of six of the programme's subjects.";110;Part;Ciutadella
Political and Administration Sciences;€1,202.32;Faculty of Political and Social Sciences;240;"The latest advances in political and administration sciences, new professional demands and the course's European context have all been taken into account in the design of this bachelor's degree programme. It provides general training that combines knowledge related to political and administration sciences, economics, law, history and sociology with instrumental content geared to research.
The programme's basic and compulsory subjects give students sufficient knowledge for the purpose of professional activity in politics and administration. The various tracks open to them enable them to steer their future career towards a more specific field and a subsequent specialization (a master's degree programme).
The programme's ultimate objective is to produce professionals who have a wealth of scientific knowledge, great awareness of their context, and the skills required to operate in the European arena, in addition to being familiar with new technologies, able to think critically and committed to the principles of democracy.";160;Full;Ciutadella
Audiovisual Communication;€1,285.44;Faculty of Communcation;240;"This bachelor's degree programme's objectives are to ensure that its graduates are well versed in audiovisual theory and practice; to nurture students' capacity for critical, analytical and reflective thinking in relation to all things audiovisual, involving technical and aesthetic knowledge of the forms and processes of and trends in audiovisual communication in our environment; and to provide a comprehensive knowledge of the techniques and processes involved in the different stages of audiovisual creation and dissemination, and of the interrelationships between the sector's creators, institutions, companies, formats and end users.
Graduates must be aware of the methods and concepts applied in the different branches of research, development and innovation related to audiovisual communication and future technological environments";80;Half;Poblenou
Criminology and Public Prevention Policies;€1,202.32;Faculty of Law;240;"Criminology is a discipline that studies criminal behaviour and social reactions thereto. It consequently encompasses a wide variety of figures, such as the police, courts of justice, prisons, criminals, the victims of crime.
UPF's bachelor's degree programme in Criminology and Public Prevention Policies is geared to students acquiring wide-ranging knowledge encompassing law, political and social sciences, biology and psychology, and being able to apply it to the specific field of crime.
Criminological research methods and an understanding of society and its laws are of particular relevance in that regard, as is training in biology and psychology that offers an insight into some forms of antisocial behaviour and makes it possible to establish prevention programmes.
The objective is to equip students with the skills they need to advise public authorities, the justice system and the private sector on crime and security.";70;Morning;Ciutadella
Law;€1,202.32;Faculty of Law;240;This bachelor's degree programme provides training that enables students to understand the structure and functions of legal systems and their rules, to assimilate basic normative content, and to apply techniques for arguing a case and for interpreting rules of law. The legal training given is complemented by an introduction to other social sciences, such as economics, statistics and political science.;260;Full or Part;Ciutadella
Economics;€1,202.32;School of Economics and Business;240;"The bachelor's degree programme in Economics provides theoretical and practical knowledge that makes accurate analysis of the economic situation possible. UPF's Economics graduates must be able to understand the interrelation between the economy and society; to consider economic problems from a global perspective and take a local approach to solving them; to make connections between an economic system's different components; to gauge the implications of decisions related to economic policy; and to respond to the economic problems arising from society in general and the different units that interact therein (e.g. institutions, private companies and sectors of the economy).";170;Full;Ciutadella
Biomedical Engineering;€1,248.52;Faculty of Health and Life Sciences;240;UPF's bachelor's degree programme in Biomedical Engineering provides high quality training with a broad scope in areas such as technology, physicochemical sciences and biomedicine. The training in question will enable students not only to work as biomedical engineers in projects in which technical engineering principles are applied to the fields of medicine and biology, but also to lead such undertakings. The programme places a great deal of emphasis on computational, physiological and biological modelling, and thus features optional tracks that revolve around systems biology, neuroscience, the cardiovascular system and the musculoskeletal system. ;40;Part;Mar
Computer Science;€1,248.52;Engineering School;240;"The degree on Computer Engineering provides, on the one hand, a fundamental and strong training in computer science which enables for the exercise of the profession and, on the other hand, it has an orientation towards digital communication, which enables to take optional plans focused on audiovisual systems, communications and multimedia contents, intelligent systems and networks and telematic services.
What is proposed is, therefore, a strong training, with innovations, and a training applied to the new multimedia contents, digital audiovisual and telematic services.
Graduates in Telematic Engineering from the UPF acquire general and specific skills during their studies. These general or transversal skills enhance the personality and can be beneficially applied in professional life in any social or economic field. These include oral and written expression, in Catalan, Spanish and English, and enable graduates to work in interdisciplinary teams, as well as working independently, with high motivation in terms of quality.";55;Part;Poblenou
